kingdom	superclass	class	subclass	direct_parent	rows
0	2	90	2554	2556	14210
0	12	257	1418	1669	14096
0	2	3787	3787	3787	14041
0	2	1797	245	597	14015
0	12	3909	262	1423	13954
0	2448	2279	41	3030	13857
0	12	258	1466	3570	13772
0	2448	2279	2042	1829	13698
0	2837	4149	4149	4149	13675
0	2	2490	229	229	13584
0	1392	3425	3425	3425	13579
0	261	2506	2901	494	13566
0	261	1614	1614	1614	13473
0	2	66	1339	1339	13466
0	2	2330	2330	2330	13347
0	264	265	1093	3919	13311
0	12	258	1466	1466	13307
0	2	436	78	1225	13248
0	2	89	2224	2224	13242
0	3865	4036	3998	3998	13235
0	2	86	481	481	13199
0	2	50	1244	1244	13163
0	2	211	2497	4529	13143
0	264	389	1115	1115	13112
0	2	301	1578	1578	13063
0	4707	278	2449	4796	12893
0	12	3909	262	483	12857
0	2448	25	518	518	12808
0	2	109	109	109	12784
0	2	1253	4331	4331	12749
0	4603	323	11	2276	12737
0	12	3909	262	341	12707
0	2	89	2224	1934	12656
0	2448	2279	285	4757	12655
0	2	436	78	2529	12612
0	2837	4474	1016	1016	12563
0	462	1370	3194	3265	12530
0	2	1253	56	1144	12515
0	2	89	1764	1764	12478
0	264	265	1093	3416	12453
0	2448	27	1151	40	12439
0	2448	2279	45	45	12172
0	2448	2279	285	4718	12146
0	2	76	194	194	12109
0	2448	23	3597	3600	12090
0	2448	2279	32	3278	12074
0	2	4405	4405	4405	11999
0	2	1346	75	2202	11948
0	2	123	3410	204	11928
0	2448	25	223	223	11914
0	2	1983	1982	2223	11906
0	4603	323	1831	1363	11883
0	264	265	2967	2967	11842
0	2	2566	2932	2932	11833
0	2448	23	4794	4794	11805
0	12	3918	3918	3918	11770
0	2448	2279	176	4010	11709
0	261	145	2908	2909	11687
0	2	436	78	78	11638
0	2	293	320	320	11569
0	400			400	11492
0	264	265	13	4311	11489
0	12	258	1013	1013	11483
0	2	2124	2124	2124	11413
0	2448	2279	4677	4677	11403
