subclass	direct_parent	intermediate_nodes	rows
1093	1664	475	40469
2497	3214		40278
176	3105	2086	40155
2044	2044		39657
13	2309	13,60,347	39624
2441	2441		39578
75	75		39534
33	33		39267
4708	4709		39014
233	233		39013
176	1350	176	38979
2010	2010		38796
4632	4632		38488
75	2415	1319	38477
4208	4210		38279
1908	274		38271
176	3097	3096	38144
67	1694		37313
75	1319		36946
176	281		36940
	1392		36911
1213	1914		36649
87	2019	87	36644
113	113		36535
375	375		36521
1722	1722		36423
1871	2421		36210
270	1179		36040
4417	4417		35665
162	173	168	35569
1549	1401		35494
3972	3972		35081
1290	1290		35074
479	479		34826
1140	1140		34755
1631	1631		34687
1729	1729		34665
11	282	3305	34513
176	1318	178,179	34491
75	2222	2202	34093
3568	1467		34055
4387	4387		33916
189	2410	2315	33761
176	2346	2344	33730
4622	4622		33488
2257	2257		33346
83	2641		33262
1691	1691		32901
1799	1799		32772
189	3358	3357	32410
1283	1283		32186
4647	4647		32183
11	198		31987
13	4148	60,347,1189,2402	31800
21	21		31563
3411	3411		31345
11	4165	2105	31253
250	2282	250,1149,1150,2273	31133
3970	4532		31115
4789	485	4789	30865
11	1696	215,1366	30785
11	2204	2105	30702
3597	3599		30452
3815	3814		30380
3569	1468		30345
1894	1894		30227
285	4712	285	30169
1093	1238		30089
176	4361	176	29724
517	517		29649
11	1540		29498
1151	1151		29423
1091	4223	4219,4220	29371
147	147		29244
129	1292		29229
4758	1448		29142
189	1984	189	29013
176	2347	2344	28868
3405	3405		28696
13	4323	60,347	28284
2099	2099		28113
324	3417		27785
1549	1549		27505
1936	4005	4004	27489
4504	362		27333
2288	2288		27293
1245	1245		27292
32	32		27218
1831	4325	118,3487	27192
4758	4805		26880
245	3454	2987	26805
4758	4759		26688
1091	4224	4219,4222	26516
2449	469	2450	26376
4646	4646		26206
256	256		26144
3194	3196		26109
1910	1910		26102
15	15		26066
78	2629	2310,2628	25977
176	2345	2344	25702
41	1892		25665
56	1716	56	25584
13	4317	60,347	25511
317	317		25497
189	189		25465
4113	4111	4113	25362
2021	2021		25305
2834	2834		25300
4208	4211		25233
1822	2924		25196
1581	1581		25184
189	2316	2315	24952
4403	4403		24816
262	1989		24790
67	67		24660
69	69		24637
2449	1852	2460	24576
513	514		24462
2956	2956		24393
3886	3886		24153
1753	1753		24121
1634	1634		23881
35	1101	35	23637
2449	4253	2450	23518
3370	3370		23449
2200	2200		23165
2213	1408		23087
74	74		22936
1517	1517		22896
11	2203	2105	22808
81	81		22785
1460	1460		22777
78	1227	2310	22746
2673	2673		22660
99	4683	234	22652
1961	1961		22610
58	58		22571
95	95		22463
331	331		22356
13	394	13,60,347	22353
3194	3140	3265	22315
1640	1640		22287
262	3544	338	22280
2042	2126		22080
350	350		22043
1734	1734		21958
4233	4234	4308	21888
3597	3598		21844
2584	2584		21828
13	4312	60,347	21766
310	310		21642
1851	1851		21408
1857	1858		21115
1205	1205		21061
2524	2524		21059
2224	367		20826
1091	3276		20791
108	196		20678
