subclass	direct_parent	intermediate_nodes	rows
11	2204	11,2105	3329
2131	2131		3329
3260	3260		3321
270	2237		3309
3890	3890		3293
1511	1511		3292
2864	2864		3289
1831	4809	118,4808	3278
1935	4513	1935,2982	3269
117	1673		3261
176	3097	176,3096	3251
254	1092		3239
4097	4098		3234
1871	2349	1871	3232
358	2568		3232
219	219		3200
11	3308	198	3194
13	2402	13,60,347,1189	3161
1521	1521		3147
1804	1804		3142
1982	1982		3141
1987	1987		3139
3216	3216		3138
35	1101		3138
36	4613		3130
1295	1295		3128
1539	1539		3120
1031	1031		3113
176	2789	2086,2787	3112
4099	4099		3108
129	2511	1292,2509	3105
83	83		3086
4419	4419		3079
503	386	1012	3078
550	550		3071
3194	4445		3068
1042	1042		3067
3194	3200		3046
1831	2088		3046
13	2404	13,60,347	3020
507	507		3020
1180	1180		3015
2496	2496		2990
369	143		2958
1926	452		2948
13	1880	13,347	2930
4799	4799		2926
2749	2749		2922
87	4207	2350	2909
262	3086	262	2904
2449	2454	2452	2900
176	2346	176,2344	2893
2071	2071		2889
11	2094	215	2888
2585	2596	2585	2882
4478	4478		2858
74	4147	74	2847
1013	2364	1013	2843
176	4576	487,1248	2838
13	4315	13,60,347	2821
1831	1118	118	2814
112	1208	1207	2813
716	716		2808
411	1010		2807
2220	2220		2798
1796	1796		2792
13	4787	318,347,1162	2792
331	1096	331	2788
4789	209	207,4789	2778
2352	2352		2774
1889	1889		2758
4152	4543		2754
176	281	176	2752
11	1698	215,1366	2748
1152	4612	1152,4117	2747
498	498		2746
1391	465	3002	2741
1125	1560		2741
1308	1308		2726
298	298		2722
254	1167	254	2695
1550	2872		2690
308	308		2686
176	1108	1105	2684
245	3453		2682
250	2547	250	2677
1615	1136		2660
1091	3964	1091	2659
1831	3420	3677	2655
2901	494	2901	2653
1928	1928		2651
2946	2946		2651
4190	4190		2643
1864	2409		2626
13	3025	348	2613
2582	2582		2612
31	1925	31	2610
3410	200	2817,3410	2601
75	342	75	2596
95	2634	95	2590
13	4310	13,60,347	2562
411	3079		2551
1125	1555		2545
191	191		2544
1154	1154		2542
408	4696	4616,4617	2535
4477	4477		2534
2449	3902	2449,2452,2454	2533
1091	4517	1091,3276	2531
497	497		2515
2320	2775	2765	2511
95	4003	2329	2507
4020	4020		2505
1093	1238	1093	2493
4154	4154		2492
22	22		2491
151	1598		2486
2798	2798		2485
3327	1090		2480
2287	2287		2480
3567	3567		2473
1788	1788		2471
176	1779	281	2457
408	408		2455
3327	3327		2452
4743	4743		2450
4201	4201		2447
1125	1557		2444
1831	4325	118,1831,3487	2436
2721	2721		2434
1213	1916		2431
2215	1393	2215	2428
110	110		2416
2445	2445		2413
2862	2862		2407
112	114		2401
1979	1979		2397
419	419		2392
132	132		2388
176	2347	176,2344	2382
3520	3520		2369
1309	1309		2365
4711	4711		2350
1831	2123	118,125,3487	2341
1296	1296		2335
11	2207	11,2105	2327
1974	2411	1974	2327
284	3602		2323
1550	1789		2319
56	1714		2319
4650	4650		2310
3633	3633		2306
2342	2342		2300
3410	3543		2293
3087	3090	3087	2290
3194	4444	4445	2288
3413	203	199	2281
176	1318	176,178,179	2275
161	161		2250
3194	4698		2247
3569	1468	3569	2242
1091	3969	4108	2224
1551	2738	3401	2223
1283	1538	1283	2218
324	1461		2213
4106	4106		2213
95	2637	95	2205
4776	3034		2203
2585	2591		2197
2586	2687	2606	2189
95	2007	95	2187
426	426		2171
3809	1644	1129,3809	2166
4351	4351		2165
176	2345	176,2344	2153
4789	4827	207	2150
437	437		2144
408	4619	4616	2137
1550	2874		2136
47	47		2124
2449	2239	2449,2452	2118
142	142		2118
549	549		2117
1544	1619		2115
2790	2790		2101
1578	1109		2092
2132	2132		2078
1550	2456		2069
1013	1687	2364	2066
4789	2087	485	2066
2320	2771	2766	2059
3455	1184		2057
3373	3373		2054
4089	4089		2052
513	1422		2050
129	2512	1292,2509	2048
538	538		2046
1137	1137		2043
11	2203	11,2105	2037
32	3277		2035
1550	3583	2004	2035
2179	2179		2032
325	325		2029
3410	3521	200,204,2817	2029
637	2264	3067,3822	2027
1312	1312		2025
4758	4205		2019
395	4091		2014
4105	4637		2004
176	3085		2003
337	1584	3012	1987
2287	2417		1983
183	1637		1982
119	119		1980
3258	4305	1419,1428	1965
11	3573	282,1675,3305,3575	1960
4203	4203		1958
2508	2508		1954
1269	1269		1951
2374	2374		1950
4503	4503		1947
11	3574	282,1675,3305,3575	1946
11	1542		1942
129	2509	1292	1940
1544	1618		1929
1336	1336		1923
2148	2158	2151	1922
2178	2178		1920
1831	1223	118	1920
1912	1912		1917
2500	4620		1916
1871	2421	1871	1914
1391	2503		1913
2340	2340		1912
1693	4734	1693	1911
176	487	1248	1903
2213	1408	2213	1897
3568	1467	3568	1890
1093	2354	1238	1889
490	4706		1873
1766	1766		1865
11	2210		1865
3805	3805		1863
41	3955		1846
121	121		1841
11	2260	1498,1540	1834
2507	2507		1831
3970	3971	3970	1829
2704	2707		1827
24	24		1823
1151	40	1151	1820
2902	2902		1818
1194	3060		1813
